Occupation category;Male;Female
0;62837;44022
1;1076,34;NA
2;1212,81;NA
3;1009,34;159,38
11;110198,82;38423,74
12;84728;63739,23
13;85713,29;35374,06
14;19343,94;14704,81
21;111861,53;46640,11
22;56686,8;168229,75
23;62762,31;157938,85
24;112165,99;83323,11
25;139667,85;25319,29
26;57150,66;77807,14
31;160959,12;32584,15
32;21343,98;123709,81
33;109136,09;130578,59
34;51155,71;66466,3
35;25633,75;5684,55
41;57223,11;185502,73
42;28749,13;41941,66
43;81547,09;52406,62
44;25062,81;37791,81
51;103086,23;156954,42
52;49245,77;131603,77
53;15820,86;107144,55
54;31523,36;10345,26
61;64436,33;17934,29
62;3841,61;NA
63;NA;NA
71;153704,51;6347,78
72;118840,48;5145,5
73;17049,09;16329,45
74;58029,48;1889,13
75;25024,27;24055,24
81;38235;18737,56
82;10908,21;2168,95
83;101952,99;7757,89
91;13941,9;91586,76
92;9457,69;4548,73
93;55378,77;25668,4
94;13262,05;11631,44
95;NA;NA
96;9051,65;2758,25
