Occupation category;Men;Women
Managers;10.58394126;6.38489551
Professionals;25.15798061;27.80827998
Technicians and associated professionals;16.22511635;17.74913453
Clerical support workers;8.50441782;15.88106463
Service and sales workers;8.55002265;18.01414452
Skilled agricultural forestry and fishery workers;3.07920924;1.00961652
Craft and related trades workers;14.97008155;2.63113871
Plant and machine operators and assemblers;5.61340248;1.30177837
Elementary occupations;4.94472449;6.7960129
No information/armed forces occupations;2.37110356;2.42393433
