occupation_code,occupation_category,occupation_label
01,Armed forces,Officers in regular armed forces
02,Armed forces,Non-commissioned officers in regular armed forces
03,Armed forces,Other ranks in regular armed forces
11,Management,"Managing directors, board members, senior administrative officials, and members of legislative bodies"
12,Management,Managers in commercial fields
13,Management,Managers in production and specialized services
14,Management,"Managers in hotels, restaurants, trade, and other services"
21,Professionals,"Scientists, mathematicians, and engineers"
22,Professionals,Specialists in health professions
23,Professionals,Teachers
24,Professionals,Business economists and similar specialists
25,Professionals,Specialists in information and communication technology
26,Professionals,"Lawyers, social scientists, and cultural professionals"
31,Professionals,Technical engineers and comparable professionals
32,Professionals,Healthcare assistant professions
33,Professionals,"Business, administrative, and commercial professionals"
34,Professionals,"Legal, social, cultural, and related professionals"
35,Professionals,Information and communication technology professionals
41,Clerical,General office and secretarial staff
42,Clerical,Office workers with customer contact
43,Clerical,"Office staff in finance, accounting, statistics, and material management"
44,Clerical,Other office workers and related professions
51,Service,Personal service occupations
52,Service,Sales personnel
53,Service,Care occupations
54,Service,Security personnel and guards
61,Agriculture,Agricultural specialists
62,Agriculture,"Specialists in forestry, fishing, and hunting market production"
63,Agriculture,"Farmers, fishers, hunters, and gatherers for subsistence"
71,Craft,"Construction and finishing professionals (excluding electricians)"
72,Craft,"Metalworkers, mechanics, polymechanics, production mechanics, and related professions"
73,Craft,"Precision craftsmen, printers, and artistic craft professions"
74,Craft,Electricians and electronics technicians
75,Craft,"Food processing, woodworking, clothing production, and related craft professions"
81,Machine Operations,Operators of stationary equipment and machines
82,Machine Operations,Assembly occupations
83,Machine Operations,Vehicle drivers and mobile equipment operators
91,Elementary,Cleaning staff and helpers
92,Elementary,"Laborers in agriculture, forestry, and fishing"
93,Elementary,"Laborers in mining, construction, manufacturing, and transportation"
94,Elementary,Kitchen assistants and food preparation helpers
95,Elementary,Street vendors and street service workers
96,Elementary,"Waste disposal workers and other manual laborers"
00,Unemployed,Unemployed
